ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2021-08-10T19:10:50Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",386915,JP,103.90.17.253,,,,,"OSPod Episode 22: Dreams, Comedies, and a Future Tony Winner",Overly Sarcastic Podcast,spotify:episode:3skwG8KIgFf36bENmzdsFB,,,,,appload,trackdone,False,False,False,,False
2021-08-11T10:50:48Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",13163,JP,150.65.110.89,,,,,"OSPod Episode 23: Romans, Stars, and Food For Days (Feat. Tasting History)",Overly Sarcastic Podcast,spotify:episode:1HU0QAbtklYV6l1K0Z4vug,,,,,trackdone,logout,False,False,False,,False
2021-08-11T10:57:01Z,Windows 10 (10.0.22000; x64),2827860,JP,150.65.110.89,,,,,"OSPod Episode 23: Romans, Stars, and Food For Days (Feat. Tasting History)",Overly Sarcastic Podcast,spotify:episode:1HU0QAbtklYV6l1K0Z4vug,,,,,appload,logout,False,False,False,,False
2021-08-11T11:07:11Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",975216,JP,150.65.110.89,,,,,"OSPod Episode 23: Romans, Stars, and Food For Days (Feat. Tasting History)",Overly Sarcastic Podcast,spotify:episode:1HU0QAbtklYV6l1K0Z4vug,,,,,appload,endplay,False,False,False,,False
2021-08-11T12:31:42Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",236482,JP,219.100.182.74,,,,,"OSPod Episode 21: Johnny Snakeshoulders, Blue's Clues, and Hello Future Me!",Overly Sarcastic Podcast,spotify:episode:2fORcB6NQRWLceS8SnB9L4,,,,,appload,trackdone,False,False,False,,False
2021-08-11T21:37:58Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",20317,JP,150.65.206.223,,,,,"OSPod Episode 22: Dreams, Comedies, and a Future Tony Winner",Overly Sarcastic Podcast,spotify:episode:3skwG8KIgFf36bENmzdsFB,,,,,trackdone,logout,False,False,False,,False
2021-08-11T21:40:06Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",125679,JP,150.65.206.223,,,,,"OSPod Episode 22: Dreams, Comedies, and a Future Tony Winner",Overly Sarcastic Podcast,spotify:episode:3skwG8KIgFf36bENmzdsFB,,,,,appload,endplay,False,False,False,,False
2021-08-12T04:16:23Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",296919,JP,150.65.110.89,,,,,30. ハーフのお友達にインタビュー Japanese and English mixed conversation,Let’s learn Japanese from small talk!,spotify:episode:3nUsb8baP68cfBHwxVTZEA,,,,,clickrow,logout,False,False,False,,False
2021-08-18T22:37:06Z,"Android OS 11 API 30 (OnePlus, HD1910)",1173245,JP,103.90.18.10,,,,,31. 日本ではタピオカが大ブーム( bubble tea is the latest fad in Japan)！〜帰国と日本の流行(trend)について〜,Let’s learn Japanese from small talk!,spotify:episode:1ETR2Dxsjx3D8eGP5iSRHs,,,,,clickrow,endplay,False,False,False,,False
2021-08-20T07:42:06Z,"Android OS 11 API 30 (OnePlus, HD1910)",906844,JP,103.90.19.87,,,,,31. 日本ではタピオカが大ブーム( bubble tea is the latest fad in Japan)！〜帰国と日本の流行(trend)について〜,Let’s learn Japanese from small talk!,spotify:episode:1ETR2Dxsjx3D8eGP5iSRHs,,,,,clickrow,trackdone,False,False,False,,False
2021-08-20T09:59:45Z,"Android OS 11 API 30 (OnePlus, HD1910)",2452856,JP,103.90.19.87,,,,,22. 人を泊める問題(a problem of letting someone stay overnight)と長すぎる持ち物リスト(a too long packing list),Let’s learn Japanese from small talk!,spotify:episode:0yXa2d5cUN2S9jAfOg6x5X,,,,,trackdone,logout,False,False,False,,False
